"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
tabla_analgesicos_dia1_m1,enero,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse;"" border=""0""> <tbody> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""height: 10px; border: 0.5px inset #000000; width: 300px; vertical-align: bottom;""> <p>{aines_dia1_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{triptanes_dia1_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{simples_dia1_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{opioides_dia1_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{ergo_dia1_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{benzo_dia1_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{combin_dia1_m1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[analgesicos_dia1_m1] = ""1""",,,,,,
tabla_compri_dia1_m1,enero,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse;"" border=""0""> <tbody> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""height: 36px; width: 90px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{aines_compri_dia1_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{triptanes_compri_dia1_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{simples_compri_dia1_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{opioides_compri_dia1_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{ergo_compri_dia1_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{benzo_compri_dia1_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{combin_compri_dia1_m1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[aines_dia1_m1(0)] = ""1"" or [triptanes_dia1_m1(1)] = ""1"" or [simples_dia1_m1(2)] = ""1"" or [opioides_dia1_m1(3)] = ""1"" or [ergo_dia1_m1(4)] = ""1"" or [benzo_dia1_m1(5)] = ""1"" or [combin_dia1_m1(6)] = ""1""",,,,,,
borrar_intensidad_dia1_m1,enero,,descriptive,Intensidad,,,,,,,"[cefalea_dia1_m1] = ""1""",,,,,,
borrar_horas_dia1_m1,enero,,descriptive,Horas,,,,,,,"[cefalea_dia1_m1] = ""1""",,,,,,
borrar_analgesicost_dia1_m1,enero,,descriptive,Analgésicos,,,,,,,"[cefalea_dia1_m1] = ""1""",,,,,,
borrar_analgesicos_dia1_m1,enero,,descriptive,"¿Qué analgésicos?",,,,,,,"[analgesicos_dia1_m1] = ""1""",,,,,,
borrar_numero_dia1_m1,enero,,descriptive,"Número de comprimidos",,,,,,,"[aines_dia1_m1(0)] = ""1"" or [triptanes_dia1_m1(1)] = ""1"" or [simples_dia1_m1(2)] = ""1"" or [opioides_dia1_m1(3)] = ""1"" or [ergo_dia1_m1(4)] = ""1"" or [benzo_dia1_m1(5)] = ""1"" or [combin_dia1_m1(6)] = ""1""",,,,,,
cefalea_dia1_m1,enero,,radio,Cefalea,"0, No | 1, Sí",,,,,,,,,,,,
intensidad_dia1_m1,enero,,radio,Intensidad,"0, Leve | 1, Moderada | 2, Severa",,,,,,"[cefalea_dia1_m1] = ""1""",,,,,,
horas_dia1_m1,enero,,dropdown,Horas,"0, 1 | 1, 2 | 2, 3 | 3, 4 | 4, 5 | 5, 6 | 6, 7 | 7, 8 | 8, 9 | 9, 10 | 10, 11 | 11, 12 | 12, 13 | 13, 14 | 14, 15 | 15, 16 | 16, 17 | 17, 18 | 18, 19 | 19, 20 | 20, 21 | 21, 22 | 22, 23 | 23, 24",,,,,,"[cefalea_dia1_m1] = ""1""",,,,,,
analgesicos_dia1_m1,enero,,radio,Analgésicos,"0, No | 1, Sí",,,,,,"[cefalea_dia1_m1] = ""1""",,,,,,
aines_dia1_m1,enero,,checkbox,"Tipo de analgésicos","0, AINEs",,,,,,"[analgesicos_dia1_m1] = ""1""",,,,,,
aines_compri_dia1_m1,enero,,text,"Número de comprimidos",,AINEs,number,0,30,,"[aines_dia1_m1(0)] = ""1""",,,,,,
triptanes_dia1_m1,enero,,checkbox,"Tipo de analgésicos","1, Triptanes",,,,,,"[analgesicos_dia1_m1] = ""1""",,,,,,
triptanes_compri_dia1_m1,enero,,text,"Número de comprimidos",,Triptanes,number,0,30,,"[triptanes_dia1_m1(1)] = ""1""",,,,,,
simples_dia1_m1,enero,,checkbox,"Tipo de analgésicos","2, Analgésicos simples",,,,,,"[analgesicos_dia1_m1] = ""1""",,,,,,
simples_compri_dia1_m1,enero,,text,"Número de comprimidos",,Simples,number,0,30,,"[simples_dia1_m1(2)] = ""1""",,,,,,
opioides_dia1_m1,enero,,checkbox,"Tipo de analgésicos","3, Opioides",,,,,,"[analgesicos_dia1_m1] = ""1""",,,,,,
opioides_compri_dia1_m1,enero,,text,"Número de comprimidos",,Opioides,number,0,30,,"[opioides_dia1_m1(3)] = ""1""",,,,,,
ergo_dia1_m1,enero,,checkbox,"Tipo de analgésicos","4, Ergotamínicos",,,,,,"[analgesicos_dia1_m1] = ""1""",,,,,,
ergo_compri_dia1_m1,enero,,text,"Número de comprimidos",,Ergotamínicos,number,0,30,,"[ergo_dia1_m1(4)] = ""1""",,,,,,
benzo_dia1_m1,enero,,checkbox,"Tipo de analgésicos","5, Benzodiacepinas",,,,,,"[analgesicos_dia1_m1] = ""1""",,,,,,
benzo_compri_dia1_m1,enero,,text,"Número de comprimidos",,Benzodiacepinas,number,0,30,,"[benzo_dia1_m1(5)] = ""1""",,,,,,
combin_dia1_m1,enero,,checkbox,"Tipo de analgésicos","6, Combinados",,,,,,"[analgesicos_dia1_m1] = ""1""",,,,,,
combin_compri_dia1_m1,enero,,text,"Número de comprimidos",,Combinados,number,0,30,,"[combin_dia1_m1(6)] = ""1""",,,,,,
tabla_analgesicos_dia2_m1,enero,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse;"" border=""0""> <tbody> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""height: 10px; border: 0.5px inset #000000; width: 300px; vertical-align: bottom;""> <p>{aines_dia2_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{triptanes_dia2_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{simples_dia2_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{opioides_dia2_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{ergo_dia2_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{benzo_dia2_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{combin_dia2_m1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[analgesicos_dia2_m1] = ""1""",,,,,,
tabla_compri_dia2_m1,enero,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse;"" border=""0""> <tbody> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""height: 36px; width: 90px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{aines_compri_dia2_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{triptanes_compri_dia2_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{simples_compri_dia2_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{opioides_compri_dia2_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{ergo_compri_dia2_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{benzo_compri_dia2_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{combin_compri_dia2_m1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[aines_dia2_m1(0)] = ""1"" or [triptanes_dia2_m1(1)] = ""1"" or [simples_dia2_m1(2)] = ""1"" or [opioides_dia2_m1(3)] = ""1"" or [ergo_dia2_m1(4)] = ""1"" or [benzo_dia2_m1(5)] = ""1"" or [combin_dia2_m1(6)] = ""1""",,,,,,
borrar_intensidad_dia2_m1,enero,,descriptive,Intensidad,,,,,,,"[cefalea_dia2_m1] = ""1""",,,,,,
borrar_horas_dia2_m1,enero,,descriptive,Horas,,,,,,,"[cefalea_dia2_m1] = ""1""",,,,,,
borrar_analgesicost_dia2_m1,enero,,descriptive,Analgésicos,,,,,,,"[cefalea_dia2_m1] = ""1""",,,,,,
borrar_analgesicos_dia2_m1,enero,,descriptive,"¿Qué analgésicos?",,,,,,,"[analgesicos_dia2_m1] = ""1""",,,,,,
borrar_numero_dia2_m1,enero,,descriptive,"Número de comprimidos",,,,,,,"[aines_dia2_m1(0)] = ""1"" or [triptanes_dia2_m1(1)] = ""1"" or [simples_dia2_m1(2)] = ""1"" or [opioides_dia2_m1(3)] = ""1"" or [ergo_dia2_m1(4)] = ""1"" or [benzo_dia2_m1(5)] = ""1"" or [combin_dia2_m1(6)] = ""1""",,,,,,
cefalea_dia2_m1,enero,,radio,Cefalea,"0, No | 1, Sí",,,,,,,,,,,,
intensidad_dia2_m1,enero,,radio,Intensidad,"0, Leve | 1, Moderada | 2, Severa",,,,,,"[cefalea_dia2_m1] = ""1""",,,,,,
horas_dia2_m1,enero,,dropdown,Horas,"0, 1 | 1, 2 | 2, 3 | 3, 4 | 4, 5 | 5, 6 | 6, 7 | 7, 8 | 8, 9 | 9, 10 | 10, 11 | 11, 12 | 12, 13 | 13, 14 | 14, 15 | 15, 16 | 16, 17 | 17, 18 | 18, 19 | 19, 20 | 20, 21 | 21, 22 | 22, 23 | 23, 24",,,,,,"[cefalea_dia2_m1] = ""1""",,,,,,
analgesicos_dia2_m1,enero,,radio,Analgésicos,"0, No | 1, Sí",,,,,,"[cefalea_dia2_m1] = ""1""",,,,,,
aines_dia2_m1,enero,,checkbox,"Tipo de analgésicos","0, AINEs",,,,,,"[analgesicos_dia2_m1] = ""1""",,,,,,
aines_compri_dia2_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[aines_dia2_m1(0)] = ""1""",,,,,,
triptanes_dia2_m1,enero,,checkbox,"Tipo de analgésicos","1, Triptanes",,,,,,"[analgesicos_dia2_m1] = ""1""",,,,,,
triptanes_compri_dia2_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[triptanes_dia2_m1(1)] = ""1""",,,,,,
simples_dia2_m1,enero,,checkbox,"Tipo de analgésicos","2, Analgésicos simples",,,,,,"[analgesicos_dia2_m1] = ""1""",,,,,,
simples_compri_dia2_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[simples_dia2_m1(2)] = ""1""",,,,,,
opioides_dia2_m1,enero,,checkbox,"Tipo de analgésicos","3, Opioides",,,,,,"[analgesicos_dia2_m1] = ""1""",,,,,,
opioides_compri_dia2_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[opioides_dia2_m1(3)] = ""1""",,,,,,
ergo_dia2_m1,enero,,checkbox,"Tipo de analgésicos","4, Ergotamínicos",,,,,,"[analgesicos_dia2_m1] = ""1""",,,,,,
ergo_compri_dia2_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[ergo_dia2_m1(4)] = ""1""",,,,,,
benzo_dia2_m1,enero,,checkbox,"Tipo de analgésicos","5, Benzodiacepinas",,,,,,"[analgesicos_dia2_m1] = ""1""",,,,,,
benzo_compri_dia2_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[benzo_dia2_m1(5)] = ""1""",,,,,,
combin_dia2_m1,enero,,checkbox,"Tipo de analgésicos","6, Combinados",,,,,,"[analgesicos_dia2_m1] = ""1""",,,,,,
combin_compri_dia2_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[combin_dia2_m1(6)] = ""1""",,,,,,
tabla_analgesicos_dia3_m1,enero,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse;"" border=""0""> <tbody> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""height: 10px; border: 0.5px inset #000000; width: 300px; vertical-align: bottom;""> <p>{aines_dia3_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{triptanes_dia3_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{simples_dia3_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{opioides_dia3_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{ergo_dia3_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{benzo_dia3_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{combin_dia3_m1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[analgesicos_dia3_m1] = ""1""",,,,,,
borrar_intensidad_dia3_m1,enero,,descriptive,Intensidad,,,,,,,"[cefalea_dia3_m1] = ""1""",,,,,,
tabla_compri_dia3_m1,enero,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse;"" border=""0""> <tbody> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""height: 36px; width: 90px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{aines_compri_dia3_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{triptanes_compri_dia3_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{simples_compri_dia3_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{opioides_compri_dia3_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{ergo_compri_dia3_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{benzo_compri_dia3_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{combin_compri_dia3_m1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[aines_dia3_m1(0)] = ""1"" or [triptanes_dia3_m1(1)] = ""1"" or [simples_dia3_m1(2)] = ""1"" or [opioides_dia3_m1(3)] = ""1"" or [ergo_dia3_m1(4)] = ""1"" or [benzo_dia3_m1(5)] = ""1"" or [combin_dia3_m1(6)] = ""1""",,,,,,
borrar_horas_dia3_m1,enero,,descriptive,Horas,,,,,,,"[cefalea_dia3_m1] = ""1""",,,,,,
borrar_analgesicost_dia3_m1,enero,,descriptive,Analgésicos,,,,,,,"[cefalea_dia3_m1] = ""1""",,,,,,
borrar_analgesicos_dia3_m1,enero,,descriptive,"¿Qué analgésicos?",,,,,,,"[analgesicos_dia3_m1] = ""1""",,,,,,
borrar_numero_dia3_m1,enero,,descriptive,"Número de comprimidos",,,,,,,"[aines_dia3_m1(0)] = ""1"" or [triptanes_dia3_m1(1)] = ""1"" or [simples_dia3_m1(2)] = ""1"" or [opioides_dia3_m1(3)] = ""1"" or [ergo_dia3_m1(4)] = ""1"" or [benzo_dia3_m1(5)] = ""1"" or [combin_dia3_m1(6)] = ""1""",,,,,,
cefalea_dia3_m1,enero,,radio,Cefalea,"0, No | 1, Sí",,,,,,,,,,,,
intensidad_dia3_m1,enero,,radio,Intensidad,"0, Leve | 1, Moderada | 2, Severa",,,,,,"[cefalea_dia3_m1] = ""1""",,,,,,
horas_dia3_m1,enero,,dropdown,Horas,"0, 1 | 1, 2 | 2, 3 | 3, 4 | 4, 5 | 5, 6 | 6, 7 | 7, 8 | 8, 9 | 9, 10 | 10, 11 | 11, 12 | 12, 13 | 13, 14 | 14, 15 | 15, 16 | 16, 17 | 17, 18 | 18, 19 | 19, 20 | 20, 21 | 21, 22 | 22, 23 | 23, 24",,,,,,"[cefalea_dia3_m1] = ""1""",,,,,,
analgesicos_dia3_m1,enero,,radio,Analgésicos,"0, No | 1, Sí",,,,,,"[cefalea_dia3_m1] = ""1""",,,,,,
aines_dia3_m1,enero,,checkbox,"Tipo de analgésicos","0, AINEs",,,,,,"[analgesicos_dia3_m1] = ""1""",,,,,,
aines_compri_dia3_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[aines_dia3_m1(0)] = ""1""",,,,,,
triptanes_dia3_m1,enero,,checkbox,"Tipo de analgésicos","1, Triptanes",,,,,,"[analgesicos_dia3_m1] = ""1""",,,,,,
triptanes_compri_dia3_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[triptanes_dia3_m1(1)] = ""1""",,,,,,
simples_dia3_m1,enero,,checkbox,"Tipo de analgésicos","2, Analgésicos simples",,,,,,"[analgesicos_dia3_m1] = ""1""",,,,,,
simples_compri_dia3_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[simples_dia3_m1(2)] = ""1""",,,,,,
opioides_dia3_m1,enero,,checkbox,"Tipo de analgésicos","3, Opioides",,,,,,"[analgesicos_dia3_m1] = ""1""",,,,,,
opioides_compri_dia3_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[opioides_dia3_m1(3)] = ""1""",,,,,,
ergo_dia3_m1,enero,,checkbox,"Tipo de analgésicos","4, Ergotamínicos",,,,,,"[analgesicos_dia3_m1] = ""1""",,,,,,
ergo_compri_dia3_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[ergo_dia3_m1(4)] = ""1""",,,,,,
benzo_dia3_m1,enero,,checkbox,"Tipo de analgésicos","5, Benzodiacepinas",,,,,,"[analgesicos_dia3_m1] = ""1""",,,,,,
benzo_compri_dia3_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[benzo_dia3_m1(5)] = ""1""",,,,,,
combin_dia3_m1,enero,,checkbox,"Tipo de analgésicos","6, Combinados",,,,,,"[analgesicos_dia3_m1] = ""1""",,,,,,
combin_compri_dia3_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[combin_dia3_m1(6)] = ""1""",,,,,,
tabla_analgesicos_dia4_m1,enero,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse;"" border=""0""> <tbody> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""height: 10px; border: 0.5px inset #000000; width: 300px; vertical-align: bottom;""> <p>{aines_dia4_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{triptanes_dia4_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{simples_dia4_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{opioides_dia4_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{ergo_dia4_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{benzo_dia4_m1}</p> </td> </tr> <tr style=""height: 30px; border-color: #000000; border-style: none;""> <td style=""border: 0.5px inset #000000; width: 300px; height: 10px; vertical-align: bottom;""> <p>{combin_dia4_m1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[analgesicos_dia4_m1] = ""1""",,,,,,
tabla_compri_dia4_m1,enero,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse;"" border=""0""> <tbody> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""height: 36px; width: 90px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{aines_compri_dia4_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{triptanes_compri_dia4_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{simples_compri_dia4_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{opioides_compri_dia4_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; vertical-align: middle; height: 36px; border: 0.5px outset #000000;""> <p>{ergo_compri_dia4_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{benzo_compri_dia4_m1}</p> </td> </tr> <tr style=""height: 36px; border-color: #000000; border-style: none;""> <td style=""width: 90px; height: 36px; border: 0.5px outset #000000; vertical-align: middle;""> <p>{combin_compri_dia4_m1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[aines_dia4_m1(0)] = ""1"" or [triptanes_dia4_m1(1)] = ""1"" or [simples_dia4_m1(2)] = ""1"" or [opioides_dia4_m1(3)] = ""1"" or [ergo_dia4_m1(4)] = ""1"" or [benzo_dia4_m1(5)] = ""1"" or [combin_dia4_m1(6)] = ""1""",,,,,,
borrar_intensidad_dia4_m1,enero,,descriptive,Intensidad,,,,,,,"[cefalea_dia4_m1] = ""1""",,,,,,
borrar_horas_dia4_m1,enero,,descriptive,Horas,,,,,,,"[cefalea_dia4_m1] = ""1""",,,,,,
borrar_analgesicost_dia4_m1,enero,,descriptive,Analgésicos,,,,,,,"[cefalea_dia4_m1] = ""1""",,,,,,
borrar_analgesicos_dia4_m1,enero,,descriptive,"¿Qué analgésicos?",,,,,,,"[analgesicos_dia4_m1] = ""1""",,,,,,
borrar_numero_dia4_m1,enero,,descriptive,"Número de comprimidos",,,,,,,"[aines_dia4_m1(0)] = ""1"" or [triptanes_dia4_m1(1)] = ""1"" or [simples_dia4_m1(2)] = ""1"" or [opioides_dia4_m1(3)] = ""1"" or [ergo_dia4_m1(4)] = ""1"" or [benzo_dia4_m1(5)] = ""1"" or [combin_dia4_m1(6)] = ""1""",,,,,,
cefalea_dia4_m1,enero,,radio,Cefalea,"0, No | 1, Sí",,,,,,,,,,,,
intensidad_dia4_m1,enero,,radio,Intensidad,"0, Leve | 1, Moderada | 2, Severa",,,,,,"[cefalea_dia4_m1] = ""1""",,,,,,
horas_dia4_m1,enero,,dropdown,Horas,"0, 1 | 1, 2 | 2, 3 | 3, 4 | 4, 5 | 5, 6 | 6, 7 | 7, 8 | 8, 9 | 9, 10 | 10, 11 | 11, 12 | 12, 13 | 13, 14 | 14, 15 | 15, 16 | 16, 17 | 17, 18 | 18, 19 | 19, 20 | 20, 21 | 21, 22 | 22, 23 | 23, 24",,,,,,"[cefalea_dia4_m1] = ""1""",,,,,,
analgesicos_dia4_m1,enero,,radio,Analgésicos,"0, No | 1, Sí",,,,,,"[cefalea_dia4_m1] = ""1""",,,,,,
aines_dia4_m1,enero,,checkbox,"Tipo de analgésicos","0, AINEs",,,,,,"[analgesicos_dia4_m1] = ""1""",,,,,,
aines_compri_dia4_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[aines_dia4_m1(0)] = ""1""",,,,,,
triptanes_dia4_m1,enero,,checkbox,"Tipo de analgésicos","1, Triptanes",,,,,,"[analgesicos_dia4_m1] = ""1""",,,,,,
triptanes_compri_dia4_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[triptanes_dia4_m1(1)] = ""1""",,,,,,
simples_dia4_m1,enero,,checkbox,"Tipo de analgésicos","2, Analgésicos simples",,,,,,"[analgesicos_dia4_m1] = ""1""",,,,,,
simples_compri_dia4_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[simples_dia4_m1(2)] = ""1""",,,,,,
opioides_dia4_m1,enero,,checkbox,"Tipo de analgésicos","3, Opioides",,,,,,"[analgesicos_dia4_m1] = ""1""",,,,,,
opioides_compri_dia4_m1,enero,,text,"Número de comprimidos",,,number,0,30,,"[opioides_dia4_m1(3)] = ""1""",,,,,,
